City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
250,Pozo Colorado,97,PY,2021-05-28 19:20:17,32,-23.4923,-58.7972,92.16,14.36
251,Kalamare,0,BW,2021-05-28 19:20:18,25,-22.9337,26.5703,61.66,5.03
252,Darhan,100,MN,2021-05-28 19:20:18,58,49.4867,105.9228,54.37,2.21
253,Lashio,72,MM,2021-05-28 19:20:18,71,22.9333,97.75,71.1,0.49
254,Aswan,99,EG,2021-05-28 19:20:18,8,24.0934,32.907,95.77,18.07
255,Kidal,93,ML,2021-05-28 19:20:19,7,18.4411,1.4078,96.91,10.22
256,Coron,100,PH,2021-05-28 19:20:19,84,11.9986,120.2043,79.81,2.06
257,North Bend,1,US,2021-05-28 19:20:20,66,43.4065,-124.2243,70.99,18.41
258,Port Shepstone,2,ZA,2021-05-28 19:20:20,76,-30.7414,30.455,66.07,8.1
259,Samarai,64,PG,2021-05-28 19:20:20,75,-10.6167,150.6667,76.87,15.68
260,Norman Wells,75,CA,2021-05-28 19:20:21,65,65.282,-126.8329,39.24,18.41
261,Deputatskiy,0,RU,2021-05-28 19:20:21,63,69.3,139.9,41.27,5.3
262,Hurbanovo,97,SK,2021-05-28 19:20:21,80,47.8698,18.1923,59.7,7.99
263,Eskisehir,40,TR,2021-05-28 19:20:22,88,39.7767,30.5206,60.67,13.8
264,Valleyview,100,CA,2021-05-28 19:20:22,87,55.0667,-117.2859,50.04,16.11
265,Barrow,90,US,2021-05-28 19:20:22,74,71.2906,-156.7887,30.22,8.05
266,Mount Pleasant,1,US,2021-05-28 19:17:06,63,32.7941,-79.8626,93.31,1.01
267,Tikapur,100,NP,2021-05-28 19:20:23,84,28.5,81.1333,75.43,2.84
268,Mar Del Plata,0,AR,2021-05-28 19:19:11,53,-38.0023,-57.5575,63.09,3.0
269,Teguise,20,ES,2021-05-28 19:20:23,60,29.0605,-13.564,68.22,11.83
270,Nishihara,75,JP,2021-05-28 19:20:23,88,26.1842,127.7558,76.68,12.03
271,Dicabisagan,10,PH,2021-05-28 19:20:24,83,17.0818,122.4157,80.04,4.5
272,Maldonado,37,UY,2021-05-28 19:20:24,70,-34.6667,-54.9167,63.79,10.42
