City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
103,Westport,US,41.1415,-73.3579,51.84,93,90,1.99,light rain
104,Hays,US,30.0502,-98.0336,85.82,58,98,1.99,overcast clouds
105,La Tuque,CA,47.4334,-72.7824,66.45,22,92,6.91,overcast clouds
106,Enid,US,36.3956,-97.8784,67.01,79,90,10.0,overcast clouds
107,Bambous Virieux,MU,-20.3428,57.7575,73.22,94,40,6.24,scattered clouds
108,Tiznit,MA,29.5833,-9.5,78.35,39,100,3.98,overcast clouds
109,Hamilton,US,39.1834,-84.5333,64.38,66,90,1.01,overcast clouds
110,Cabo San Lucas,MX,22.8909,-109.9124,97.52,54,0,11.97,clear sky
111,Prabumulih,ID,-3.45,104.25,73.71,96,97,2.71,light rain
112,Nadvoitsy,RU,63.8667,34.3167,46.11,61,91,11.27,overcast clouds
113,Quelimane,MZ,-17.8786,36.8883,71.55,94,0,3.44,clear sky
114,Kashi,CN,39.4547,75.9797,76.21,16,40,7.11,scattered clouds
115,Kahului,US,20.8947,-156.47,83.97,66,20,6.91,few clouds
116,Piacabucu,BR,-10.4056,-36.4344,77.47,82,15,9.15,few clouds
117,Santa Rosa,PH,14.3122,121.1114,84.18,87,97,2.75,overcast clouds
118,Luderitz,NA,-26.6481,15.1594,59.29,69,2,16.4,clear sky
119,San Patricio,US,28.017,-97.5169,87.89,55,22,15.5,few clouds
120,Tasiilaq,GL,65.6145,-37.6368,39.36,86,100,12.37,overcast clouds
121,Aklavik,CA,68.2191,-135.0107,47.23,49,40,11.5,scattered clouds
122,Castro,BR,-24.7911,-50.0119,56.43,98,100,3.29,overcast clouds
123,Bandarbeyla,SO,9.4942,50.8122,79.14,85,82,27.31,broken clouds
124,Khasan,RU,42.4308,130.6434,51.93,96,95,6.93,moderate rain
125,Sola,VU,-13.8833,167.55,77.25,84,97,12.64,overcast clouds
126,Faanui,PF,-16.4833,-151.75,80.01,76,100,16.73,overcast clouds
127,Cape Town,ZA,-33.9258,18.4232,56.12,78,0,3.09,clear sky
128,Launceston,AU,-41.45,147.1667,36.16,93,7,1.72,clear sky
129,Provideniya,RU,64.3833,-173.3,48.31,57,0,13.42,clear sky
130,Kungurtug,RU,50.5994,97.5228,32.95,96,100,1.72,light snow
131,Labytnangi,RU,66.6572,66.4183,34.95,72,9,11.16,clear sky
132,Port Alfred,ZA,-33.5906,26.891,58.05,65,97,9.84,overcast clouds
133,Pevek,RU,69.7008,170.3133,38.88,69,6,4.23,clear sky
134,Qaanaaq,GL,77.484,-69.3632,32.49,92,100,5.12,overcast clouds
135,Salalah,OM,17.0151,54.0924,82.49,89,20,5.75,few clouds
136,Leczyca,PL,52.0596,19.1997,56.19,87,11,8.61,few clouds
137,Port Macquarie,AU,-31.4333,152.9167,55.36,78,67,10.16,broken clouds
138,Pedro Ii,BR,-4.4247,-41.4586,79.83,58,51,3.04,broken clouds
139,Kenai,US,60.5544,-151.2583,58.03,69,75,13.8,broken clouds
140,Salvador,SV,13.8333,-88.9167,86.05,45,94,1.1,overcast clouds
141,Tazmalt,DZ,36.3868,4.3989,71.87,58,7,5.17,clear sky
142,Panalingaan,PH,8.7842,117.4231,80.11,83,100,2.77,overcast clouds
143,Coihaique,CL,-45.5752,-72.0662,48.81,93,90,4.61,moderate rain
144,Asau,RO,46.4333,26.4,54.95,82,66,1.43,broken clouds
145,Kaitangata,NZ,-46.2817,169.8464,49.51,94,100,5.93,moderate rain
146,Rocha,UY,-34.4833,-54.3333,49.32,61,4,8.97,clear sky
147,Windhoek,NA,-22.5594,17.0832,64.6,25,0,6.91,clear sky
148,Constitucion,CL,-35.3333,-72.4167,59.29,61,100,9.04,overcast clouds
149,Pingdu,CN,36.7844,119.9464,63.84,93,1,7.07,light rain
150,Huntsville,US,34.7304,-86.5861,75.31,51,1,1.01,clear sky
151,Pershotravneve,UA,51.3929,28.8684,47.98,94,100,4.92,overcast clouds
152,Saskylakh,RU,71.9167,114.0833,36.63,87,90,4.09,overcast clouds
153,Pensacola,US,30.4213,-87.2169,87.39,47,1,1.01,clear sky
154,Richards Bay,ZA,-28.783,32.0377,61.93,74,98,5.46,overcast clouds
155,Kathu,TH,7.9178,98.3332,85.62,83,89,9.62,overcast clouds
156,Lincoln,US,40.8,-96.667,62.55,77,90,4.61,overcast clouds
157,Cidreira,BR,-30.1811,-50.2056,53.82,52,34,8.95,scattered clouds
158,Canutama,BR,-6.5339,-64.3831,86.43,61,96,1.28,overcast clouds
159,Lavrentiya,RU,65.5833,-171.0,35.46,79,6,11.52,clear sky
160,Constantine,DZ,36.365,6.6147,71.01,49,75,8.05,broken clouds
161,Leningradskiy,RU,69.3833,178.4167,36.07,92,79,1.7,broken clouds
162,Comodoro Rivadavia,AR,-45.8667,-67.5,44.46,81,40,1.14,light rain
163,Mogadishu,SO,2.0371,45.3438,78.55,87,88,16.87,overcast clouds
164,Nurota,UZ,40.5614,65.6886,78.89,18,0,7.74,clear sky
165,Butaritari,KI,3.0707,172.7902,82.89,77,96,14.76,overcast clouds
166,Kawalu,ID,-7.3817,108.2082,73.18,97,97,1.68,overcast clouds
167,Mehamn,NO,71.0357,27.8492,42.98,93,75,13.8,broken clouds
168,Bud,US,39.447,-86.1758,69.93,42,0,6.78,clear sky
169,Port Hardy,CA,50.6996,-127.4199,55.58,88,90,17.27,light rain
170,Batsfjord,NO,70.6345,29.7185,43.02,95,100,21.12,overcast clouds
171,Severo-Kurilsk,RU,50.6789,156.125,38.8,97,100,18.81,light rain
172,Ilulissat,GL,69.2167,-51.1,44.62,45,51,4.61,broken clouds
173,Pemba,MZ,-12.974,40.5178,75.9,94,75,7.0,broken clouds
174,Surgut,RU,61.25,73.4167,59.18,100,0,6.29,clear sky
175,Chokurdakh,RU,70.6333,147.9167,57.07,37,21,11.21,few clouds
176,Peachland,CA,49.7665,-119.7357,76.86,30,100,4.85,overcast clouds
177,Kortkeros,RU,61.8106,51.5806,37.4,71,6,4.38,clear sky
178,Chuy,UY,-33.6971,-53.4616,52.39,54,9,8.9,clear sky
179,Victoria,HK,22.2855,114.1577,86.38,88,100,5.01,overcast clouds
180,Port Said,EG,31.2565,32.2841,76.98,69,0,11.5,clear sky
181,Razole,IN,16.4833,81.8333,85.12,78,7,4.18,clear sky
182,Mar Del Plata,AR,-38.0023,-57.5575,55.13,45,0,10.36,clear sky
183,Pisco,PE,-13.7,-76.2167,65.01,94,90,6.91,overcast clouds
184,Pouebo,NC,-20.4,164.5667,66.78,67,42,4.32,scattered clouds
185,Boueni,YT,-12.9025,45.0761,78.78,69,0,3.13,clear sky
186,Whitehorse,CA,60.7161,-135.0538,56.17,43,75,15.01,broken clouds
187,Jizan,SA,17.3333,42.6667,90.54,46,0,1.68,clear sky
188,Airai,TL,-8.9266,125.4092,57.9,87,100,1.63,overcast clouds
189,Mwene-Ditu,CD,-7.0,23.45,67.42,42,48,5.64,scattered clouds
190,Abha,SA,18.2164,42.5053,71.42,64,0,3.33,clear sky
191,Kupang,ID,-10.1667,123.5833,74.95,88,80,5.37,broken clouds
192,Bredasdorp,ZA,-34.5322,20.0403,51.12,93,64,2.64,broken clouds
193,Saint George,US,37.1041,-113.5841,95.47,11,1,1.01,clear sky
194,Matara,LK,5.9485,80.5353,79.59,84,97,14.2,overcast clouds
195,Sikonge,TZ,-5.6333,32.7667,72.14,49,100,3.87,overcast clouds
196,Husavik,IS,66.0449,-17.3389,57.11,56,99,11.36,overcast clouds
197,Guerrero Negro,MX,27.9769,-114.0611,67.55,57,6,17.36,clear sky
198,Kormilovka,RU,55.0026,74.1028,71.35,34,9,16.84,clear sky
199,Smithers,CA,54.7804,-127.1743,50.32,87,90,3.44,overcast clouds
200,Khash,IR,28.2211,61.2158,81.05,8,0,6.13,clear sky
201,Soavinandriana,MG,-19.1667,46.7333,57.79,72,64,2.66,broken clouds
202,Ponta Do Sol,PT,32.6667,-17.1,67.12,69,30,6.17,scattered clouds
203,Svetlogorsk,BY,52.6333,29.7333,46.89,78,100,7.49,overcast clouds
204,San Quintin,MX,30.4833,-115.95,65.57,62,67,15.86,broken clouds
205,Manggar,ID,-2.8833,108.2667,80.51,82,48,4.43,scattered clouds
206,Maniitsoq,GL,65.4167,-52.9,35.17,86,83,5.5,broken clouds
207,Prince Rupert,CA,54.3161,-130.3201,53.69,97,90,6.91,light rain
208,Chalus,IR,36.655,51.4204,74.66,88,75,9.22,broken clouds
209,Nanortalik,GL,60.1432,-45.2371,37.92,85,34,15.35,scattered clouds
210,Broome,US,42.2506,-75.833,50.9,92,90,1.99,light rain
211,Bolivar,US,37.6145,-93.4105,71.11,59,100,4.0,overcast clouds
212,Bilibino,RU,68.0546,166.4372,50.07,45,69,2.19,broken clouds
213,Tsaratanana,MG,-16.7833,47.65,70.14,78,0,5.44,clear sky
214,Klaksvik,FO,62.2266,-6.589,54.52,93,13,19.71,few clouds
215,Fairbanks,US,64.8378,-147.7164,63.1,52,75,0.0,broken clouds
216,Port Keats,AU,-14.25,129.55,67.87,63,100,5.68,overcast clouds
217,Coahuayana,MX,18.7333,-103.6833,92.95,34,99,8.28,overcast clouds
218,Gorom-Gorom,BF,14.4439,-0.2361,97.59,14,1,7.09,clear sky
219,Udachnyy,RU,66.4167,112.4,51.8,44,21,4.56,few clouds
220,North Platte,US,41.1239,-100.7654,62.33,80,90,1.01,overcast clouds
221,Caribou,US,46.8606,-68.012,67.46,26,1,11.5,clear sky
222,Astoria,US,46.1879,-123.8313,76.62,77,1,3.44,clear sky
223,Upata,VE,8.0086,-62.3989,87.19,67,97,8.95,overcast clouds
224,Kuusankoski,FI,60.907,26.6244,52.32,70,0,1.01,clear sky
225,Sitka,US,57.0531,-135.33,53.49,71,90,9.22,light rain
226,Grindavik,IS,63.8424,-22.4338,48.15,81,40,15.57,scattered clouds
227,Codrington,AU,-38.2667,141.9667,39.56,67,3,8.37,clear sky
228,Neath,GB,51.6632,-3.8044,64.29,83,98,5.1,overcast clouds
229,San Onofre,CO,9.7359,-75.5263,85.93,66,66,4.21,broken clouds
230,Goedereede,NL,51.8175,3.9806,63.99,68,0,11.21,clear sky
231,Zamora,EC,-4.0692,-78.9567,85.24,91,100,3.2,light rain
232,Bengkulu,ID,-3.8004,102.2655,75.15,90,90,4.72,overcast clouds
233,Voyvozh,RU,62.892,54.9635,33.44,74,9,4.52,clear sky
234,Natal,BR,-5.795,-35.2094,84.85,61,20,9.6,few clouds
235,Saint-Louis,SN,16.3333,-15.0,96.44,26,30,14.83,scattered clouds
236,Norman Wells,CA,65.282,-126.8329,46.44,66,75,14.97,broken clouds
237,Tondano,ID,1.3038,124.9112,67.77,89,96,0.65,light rain
238,Hasaki,JP,35.7333,140.8333,59.29,72,46,11.03,scattered clouds
239,Tefe,BR,-3.3542,-64.7114,87.91,70,40,6.91,scattered clouds
240,Orapa,BW,-21.2833,25.3667,61.0,27,96,5.73,overcast clouds
241,Fairview,US,40.8126,-73.999,51.62,90,90,10.36,moderate rain
242,Deputatskiy,RU,69.3,139.9,49.01,56,44,5.01,scattered clouds
243,Namibe,AO,-15.1961,12.1522,70.95,72,4,7.07,clear sky
244,Port Blair,IN,11.6667,92.75,81.48,83,100,3.89,overcast clouds
245,Yarada,IN,17.65,83.2667,86.32,94,20,9.51,few clouds
246,Ahipara,NZ,-35.1667,173.1667,57.18,85,69,24.72,broken clouds
247,Esperance,AU,-33.8667,121.9,55.24,85,75,19.89,light rain
248,Vyshkovo,UA,48.0491,23.4211,51.19,94,100,3.09,overcast clouds
249,La Ronge,CA,55.1001,-105.2842,62.85,39,1,8.05,clear sky
250,Carroll,US,39.5501,-77.0164,53.55,80,100,4.0,overcast clouds
251,Adrar,MR,20.5022,-10.0711,89.78,27,100,17.76,overcast clouds
252,Rantauprapat,ID,2.1,99.8333,73.04,95,97,2.55,overcast clouds
253,Lasem,ID,-6.6922,111.4527,77.34,87,55,4.85,broken clouds
254,Semme,FR,46.1963,1.5007,64.81,81,70,5.12,broken clouds
255,Pangnirtung,CA,66.1451,-65.7125,30.2,93,90,2.3,snow
256,Dakar,SN,14.6937,-17.4441,76.08,88,0,11.5,clear sky
257,Vagay,RU,57.9375,69.0217,60.66,63,14,5.28,few clouds
258,Bjornevatn,NO,69.6672,29.9847,44.94,65,75,6.91,broken clouds
259,Sao Mateus,BR,-18.7161,-39.8589,77.36,79,41,7.96,scattered clouds
260,Gat,IL,31.61,34.7642,78.4,43,18,4.03,few clouds
261,Mandalgovi,MN,45.7625,106.2708,37.58,63,58,18.97,broken clouds
262,Damara,CF,4.9608,18.7035,89.02,67,67,1.74,broken clouds
263,Mangan,IN,27.5167,88.5333,72.77,87,100,2.33,overcast clouds
264,Nicoya,CR,10.1483,-85.452,92.75,56,77,5.19,broken clouds
265,Hangu,CN,39.2489,117.7892,59.04,78,68,7.63,light rain
266,Kruisfontein,ZA,-34.0033,24.7314,56.88,76,100,6.64,overcast clouds
267,Kassala,SD,15.451,36.4,97.14,20,86,10.2,overcast clouds
268,Pontian Kecil,MY,1.4801,103.3899,84.27,82,45,4.65,scattered clouds
269,Anchorage,US,61.2181,-149.9003,59.65,79,20,0.0,few clouds
270,Lata,PT,40.1629,-8.3327,68.36,78,8,2.42,clear sky
271,Nome,US,64.5011,-165.4064,53.67,31,20,19.57,few clouds
272,Conceicao Da Barra,BR,-18.5933,-39.7322,77.47,82,49,8.39,scattered clouds
273,Cayenne,GF,4.9333,-52.3333,83.08,81,0,4.0,clear sky
274,Henties Bay,NA,-22.116,14.2845,55.85,86,4,8.19,clear sky
275,Ciudad Guayana,VE,8.3533,-62.6528,90.52,62,73,12.84,broken clouds
276,Oksfjord,NO,70.2396,22.3479,46.47,92,100,9.01,overcast clouds
277,Ciudad Bolivar,VE,8.1222,-63.5497,90.99,43,98,14.56,overcast clouds
278,Zhigansk,RU,66.7697,123.3711,47.93,60,1,11.5,clear sky
279,Monrovia,LR,6.3005,-10.7969,74.97,84,100,9.22,light rain
280,Bangui,CF,4.3612,18.555,89.78,66,40,3.44,scattered clouds
281,Belaya Gora,RU,68.5333,146.4167,58.64,42,14,12.37,few clouds
282,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,75,26,8.55,scattered clouds
283,Ulaanbaatar,MN,47.9077,106.8832,35.73,75,0,5.91,clear sky
284,Harper,LR,4.375,-7.7169,79.11,86,100,8.39,light rain
285,Sungairaya,ID,0.7,108.9,79.47,81,47,1.92,scattered clouds
286,Praia,CV,14.9215,-23.5087,77.54,65,0,18.41,clear sky
287,Sanming,CN,26.2486,117.6186,71.55,98,100,1.97,overcast clouds
288,Srednekolymsk,RU,67.45,153.6833,59.81,33,9,10.04,clear sky
289,Buta,CD,2.7858,24.73,73.18,88,81,1.52,broken clouds
290,Marzuq,YE,14.4,46.4667,79.27,46,0,2.35,clear sky
291,Prince George,CA,53.9166,-122.753,66.25,41,1,1.01,clear sky
292,Hualmay,PE,-11.0964,-77.6139,68.9,77,63,10.07,broken clouds
293,Wanning,CN,18.8003,110.3967,81.45,83,99,9.69,overcast clouds
294,Brae,GB,60.3964,-1.353,46.31,90,14,9.84,few clouds
295,Selcuk,TR,37.9514,27.3685,71.42,69,94,0.85,overcast clouds
296,Ballina,AU,-28.8667,153.5667,57.24,72,75,11.5,broken clouds
297,Yerofey Pavlovich,RU,53.9667,121.9667,42.82,95,94,4.7,overcast clouds
298,Pocatello,US,42.8713,-112.4455,75.47,21,20,7.0,few clouds
299,Half Moon Bay,US,37.4636,-122.4286,90.57,62,20,10.94,few clouds
300,Meulaboh,ID,4.1363,96.1285,76.41,86,97,2.35,overcast clouds
301,Riyadh,SA,24.6877,46.7219,98.65,8,0,5.75,clear sky
302,Velizh,RU,55.6056,31.1967,44.67,65,85,6.87,overcast clouds
303,Pimenta Bueno,BR,-11.6725,-61.1936,87.37,52,91,3.71,overcast clouds
304,Belm,DE,52.3,8.1333,64.15,85,0,5.21,clear sky
305,Ribeira Grande,PT,38.5167,-28.7,68.4,68,40,11.5,scattered clouds
306,Hovd,MN,48.0056,91.6419,47.82,39,3,1.66,clear sky
307,Prince Albert,CA,53.2001,-105.7677,67.95,22,20,6.91,few clouds
308,Fukue,JP,32.6881,128.8419,67.91,72,0,4.21,clear sky
309,Clyde River,CA,70.4692,-68.5914,30.43,86,75,3.44,broken clouds
310,Vanimo,PG,-2.6741,141.3028,76.93,90,99,6.35,light rain
311,Nokaneng,BW,-19.6667,22.2667,62.15,28,98,4.27,overcast clouds
312,Vao,NC,-22.6667,167.4833,69.15,61,95,14.83,overcast clouds
313,Poletayevo,RU,55.0336,61.1138,62.42,90,100,4.0,overcast clouds
314,Jhawarian,PK,32.3614,72.6228,89.58,39,0,5.77,clear sky
